G16,2020-06-20-00-10-00,22310275.7197 ,0,2,7,5,7,1,9,7
G21,2020-06-20-00-10-00,24744833.1725 ,4,8,3,3,1,7,2,5
G26,2020-06-20-00-10-00,24572316.7735 ,2,3,1,6,7,7,3,5
G27,2020-06-20-00-10-00,20869848.5317 ,9,8,4,8,5,3,1,7
C01,2020-06-20-00-15-00,37732252.0476 ,2,2,5,2,0,4,7,6
C02,2020-06-20-00-15-00,37703836.2896 ,3,8,3,6,2,8,9,6
C03,2020-06-20-00-15-00,36609895.7896 ,9,8,9,5,7,8,9,6
C04,2020-06-20-00-15-00,38656289.9926 ,6,2,8,9,9,9,2,6
C05,2020-06-20-00-15-00,39695999.4845 ,5,9,9,9,4,8,4,5
C06,2020-06-20-00-15-00,38023483.5556 ,3,4,8,3,5,5,5,6
C07,2020-06-20-00-15-00,36441228.8757 ,1,2,2,8,8,7,5,7
C08,2020-06-20-00-15-00,39474435.5396 ,4,4,3,5,5,3,9,6
C09,2020-06-20-00-15-00,36805922.8917 ,5,9,2,2,8,9,1,7
C10,2020-06-20-00-15-00,37102622.0867 ,2,6,2,2,0,8,6,7
C12,2020-06-20-00-15-00,24557035.1336 ,7,0,3,5,1,3,3,6
C16,2020-06-20-00-15-00,38463054.7276 ,3,0,5,4,7,2,7,6
C24,2020-06-20-00-15-00,24531964.5397 ,1,9,6,4,5,3,9,7
C26,2020-06-20-00-15-00,21606215.3918 ,6,2,1,5,3,9,1,8
C29,2020-06-20-00-15-00,25168203.7816 ,8,2,0,3,7,8,1,6
G04,2020-06-20-00-15-00,22399770.8527 ,9,7,7,0,8,5,2,7
G07,2020-06-20-00-15-00,22914786.0397 ,4,7,8,6,0,3,9,7
G08,2020-06-20-00-15-00,20127682.6178 ,7,6,8,2,6,1,7,8
G09,2020-06-20-00-15-00,22258756.8137 ,8,7,5,6,8,1,3,7
G11,2020-06-20-00-15-00,21779588.8207 ,9,5,8,8,8,2,0,7
G16,2020-06-20-00-15-00,22420643.9307 ,0,6,4,3,9,3,0,7
G21,2020-06-20-00-15-00,24865186.1955 ,5,1,8,6,1,9,5,5
G26,2020-06-20-00-15-00,24702864.2585 ,2,8,6,4,2,5,8,5
G27,2020-06-20-00-15-00,20991092.3057 ,1,0,9,2,3,0,5,7
C01,2020-06-20-00-20-00,37732534.3986 ,2,5,3,4,3,9,8,6
C02,2020-06-20-00-20-00,37703638.3366 ,3,6,3,8,3,3,6,6
C03,2020-06-20-00-20-00,36607578.2037 ,7,5,7,8,2,0,3,7
C04,2020-06-20-00-20-00,38654959.6256 ,4,9,5,9,6,2,5,6
C05,2020-06-20-00-20-00,39695889.2345 ,5,8,8,9,2,3,4,5
C06,2020-06-20-00-20-00,38119000.4696 ,9,0,0,0,4,6,9,6
